time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,26,7,0,0
2026-06-19 00:00:00+00:00,20,6,0,0
2026-06-20 00:00:00+00:00,37,9,0,0
2026-06-21 00:00:00+00:00,53,14,0,0
2026-06-22 00:00:00+00:00,36,12,1,1
2026-06-23 00:00:00+00:00,25,11,0,0
2026-06-24 00:00:00+00:00,22,6,0,0
2026-06-25 00:00:00+00:00,26,7,1,1
2026-06-26 00:00:00+00:00,20,7,0,0
2026-06-27 00:00:00+00:00,11,6,0,0
2026-06-28 00:00:00+00:00,13,4,0,0
2026-06-29 00:00:00+00:00,15,6,0,0
2026-06-30 00:00:00+00:00,25,8,0,0
2026-07-01 00:00:00+00:00,17,8,0,0
