url_path,views_total,views_unique
/yinlinchen/thumbnail_creator,15,6
/yinlinchen/thumbnail_creator/tree/master/apps,15,3
/yinlinchen/thumbnail_creator/tree/master,9,2
/yinlinchen/thumbnail_creator/blob/master/apps/app.py,4,1
/yinlinchen/thumbnail_creator/actions/runs/5790773568,3,1
/yinlinchen/thumbnail_creator/tree/master/images,3,1
/yinlinchen/thumbnail_creator/tree/master/sharedutils,3,1
/yinlinchen/thumbnail_creator/blob/master/apps/requirements.txt,2,1
/yinlinchen/thumbnail_creator/blob/master/template.yaml,2,1
/yinlinchen/thumbnail_creator/actions/runs/5790773568/job/15697309601,1,1
